symbol,signals,market_pnl_R,limit_pnl_R,limit_fills,missed_trades
MBOXUSDT,5,4.484831028142285,1.6509980661524435,3,2
ALLUSDT,6,-4.0,-4.0,6,0
SYNUSDT,5,9.58590417254072,6.851295722693234,4,1
PROVEUSDT,6,6.324902017827681,7.324902017827681,5,1
DASHUSDT,11,7.539910937281576,5.394554702733725,9,2
ALLOUSDT,0,0,0,0,0
THEUSDT,8,-3.6384549649974334,-3.3076921838758535,7,1
STGUSDT,3,1.067968033269164,4.840883530701543,3,0
AXLUSDT,6,2.8069027189092646,7.823510395761239,5,1
DOGEUSDT,7,-5.0,-4.0,6,1
LINKUSDT,9,-3.2899546780067883,1.5963502427606864,9,0
SIRENUSDT,5,6.870215061694264,1.5338991336006713,3,2
APEUSDT,5,-0.6025711835064298,4.756706390885666,5,0
GASUSDT,7,-7.0,-5.0,5,2
MAVUSDT,9,-0.5418117593922811,2.168402399157407,8,1
AERGOUSDT,7,11.543246717169533,11.543246717169533,6,1
IDOLUSDT,2,-1.0,-1.0,2,0
TACUSDT,7,-0.0405469534503351,-4.0,5,2
ZETAUSDT,8,-6.0,-6.0,7,1
EDENUSDT,6,-6.0,-5.0,6,0
SYRUPUSDT,3,-3.0,-3.0,3,0
AEROUSDT,6,6.70448244910393,3.6019492193503377,5,1
PUNDIXUSDT,3,-3.0,-3.0,3,0
TANSSIUSDT,5,-1.825793179089283,-4.0,4,1
CFXUSDT,10,-6.072555004896422,-6.072555004896422,10,0
ILVUSDT,8,0.3445077026144272,2.2970521789417737,7,1
USELESSUSDT,3,3.6372299898564164,0.16361255845443123,3,0
SOLVUSDT,6,2.841111027415388,0.8473784717851709,5,1
TONUSDT,7,1.0766923226944725,1.0766923226944725,7,0
1MBABYDOGEUSDT,7,-0.4040149662376864,-0.4040149662376864,7,0
JELLYJELLYUSDT,9,5.5716943816268945,-1.011527676775293,8,1
DOODUSDT,6,-6.0,-6.0,6,0
PARTIUSDT,7,-2.2094482361154055,-1.2094482361154055,7,0
ICPUSDT,9,5.36809783090523,1.4186689469419393,8,1
NILUSDT,6,-1.7060492172468913,-3.0,4,2
1000PEPEUSDT,12,18.21007369113313,19.21007369113313,10,2
COMPUSDT,7,-2.2639837435317034,-1.2639837435317034,6,1
STOUSDT,2,-2.0,-2.0,2,0
ZRCUSDT,4,1.600338940522379,1.600338940522379,3,1
MONUSDT,3,3.4586499847896635,1.042110809304265,2,1
RAYSOLUSDT,8,8.574137866779628,9.574137866779628,6,2
ONGUSDT,4,0.29202501695884253,-3.0,3,1
COAIUSDT,3,-0.005112192207356259,2.473394306417118,2,1
HIVEUSDT,9,-4.864953208895113,-2.864953208895112,8,1
KAVAUSDT,4,1.1822323462414577,4.4286263676746,4,0
XMRUSDT,2,-1.0,-1.0,2,0
OGUSDT,3,6.525965466738917,6.525965466738917,3,0
ICXUSDT,9,6.56761833732292,10.689949374559154,8,1
KSMUSDT,9,1.3833546861786643,-0.9468193757674257,7,2
NAORISUSDT,7,0.43981814935663266,3.772673286838543,3,4
CLOUSDT,5,1.4104560552700969,2.410456055270097,5,0
BANDUSDT,6,3.70270003311187,0.42408116804144536,5,1
DFUSDT,3,0.9431079456874851,0.9431079456874851,3,0
GLMUSDT,5,-5.0,-3.0,3,2
TRUUSDT,7,1.8714935873632412,0.9878956690358205,6,1
JUPUSDT,7,18.435918909940852,14.49405205108459,6,1
XRPUSDT,8,-6.0,-6.0,8,0
BANANAS31USDT,7,0.15641291661420897,1.530912144799148,6,1
BSVUSDT,4,2.3162313685135123,2.3162313685135123,4,0
SAPIENUSDT,7,6.627633048399442,5.641378736209459,3,3
ALGOUSDT,7,1.3959974370147856,1.3959974370147856,7,0
BDXNUSDT,7,-7.0,-6.0,6,1
VICUSDT,6,2.3804295159005506,6.720086071424975,6,0
CARVUSDT,6,-0.05043505483017796,4.420938726118941,5,0
NEOUSDT,6,-5.0,-5.0,6,0
ANKRUSDT,7,-0.5108711492614195,0.4891288507385805,6,1
TREEUSDT,7,0.8120866976702974,-4.0,5,2
币安人生USDT,3,-3.0,-3.0,3,0
DEXEUSDT,10,11.135360967117922,5.257840625208796,6,4
BIGTIMEUSDT,10,10.593846294413954,5.101974082193296,6,4
REDUSDT,10,13.728392477688034,13.73903011996948,9,1
SYSUSDT,4,2.1238050149637315,2.1238050149637315,4,0
TOSHIUSDT,11,-0.5652946744558647,1.0959140228442394,10,1
GTCUSDT,6,-1.5039141660913677,2.2708821555319423,6,0
VIRTUALUSDT,9,6.024929584155807,-1.4190823778133788,5,4
SKYAIUSDT,6,0.2474699759579022,-1.770765442782933,5,1
DEGENUSDT,13,9.87315399208896,5.494317231823039,10,3
PEOPLEUSDT,10,-0.9190309758303741,0.08096902416962592,10,0
MEWUSDT,12,12.896819719929937,12.46908376832945,11,1
BANANAUSDT,11,4.360065362231834,6.360065362231834,9,2
JOEUSDT,10,2.572630071209984,3.572630071209984,9,1
VTHOUSDT,5,-0.23015794712474724,-0.7879221604552544,4,1
FLUIDUSDT,9,9.079189532934283,6.445458841217598,8,1
REZUSDT,8,-1.9570177204629813,-0.9570177204629813,7,1
IDUSDT,10,11.447688640665723,11.447688640665723,8,2
CUSDT,8,3.6595204172127045,5.659520417212704,6,2
AEVOUSDT,12,1.687756813557593,0.027326403941108524,9,3
MERLUSDT,2,-2.0,-2.0,2,0
SIGNUSDT,6,-1.2457167543341812,-1.2457167543341812,6,0
VANRYUSDT,10,1.9311718080856628,7.5775784643023725,9,1
ZECUSDT,5,4.907429584417565,2.5422920489417438,4,1
FIDAUSDT,7,-2.7294533503260427,-6.0,6,1
LRCUSDT,7,1.8303773764296198,1.8303773764296198,7,0
ACHUSDT,6,2.132833950800182,2.132833950800182,6,0
FIOUSDT,7,1.7374822868720465,1.7374822868720465,7,0
XVSUSDT,7,-1.006419129768625,-1.006419129768625,7,0
PIEVERSEUSDT,5,0.8950764772647866,0.8950764772647866,5,0
STABLEUSDT,5,-1.7432378239586752,-4.0,4,1
PIPPINUSDT,13,1.6870236892716957,-5.952571923573595,10,3
MLNUSDT,5,9.664066840160787,5.973263486608856,4,1
SOPHUSDT,6,11.644758833499584,8.258240183894543,5,1
FHEUSDT,4,-1.0,-4.0,4,0
ETHWUSDT,11,6.611717522397015,7.611717522397015,10,1
ESPORTSUSDT,3,-0.06602496032713234,-0.06602496032713234,3,0
B2USDT,5,-4.0,-4.0,5,0
TRUMPUSDT,4,-0.7721829537477127,-3.0,3,1
PYTHUSDT,11,5.588286035531585,1.862867190811743,8,3
SONICUSDT,9,0.7322429446319938,-0.8651383280799392,7,2
GUNUSDT,8,-3.2075006554305143,-3.205677331821556,7,1
LINEAUSDT,8,5.133426267347193,0.5597182679390071,5,3
RONINUSDT,4,-3.0,-0.7869370522207029,4,0
BRUSDT,5,-5.0,-5.0,5,0
OPENUSDT,5,2.6504345207833735,2.6504345207833735,5,0
LDOUSDT,8,1.9091970576383157,-1.255746296197691,7,1
DYDXUSDT,13,-2.1791875205507445,-3.4371912787000825,11,2
APRUSDT,2,-2.0,-2.0,2,0
DEEPUSDT,13,8.502126799178765,5.363897368410971,10,3
DEGOUSDT,6,2.910095863961418,0.7328520572104571,4,2
RAREUSDT,7,-0.3357734575416953,-0.3357734575416953,6,1
METISUSDT,12,5.533332581466271,3.094576301585845,11,1
4USDT,3,3.331987009277093,3.331987009277093,3,0
MANAUSDT,7,-7.0,-6.0,6,1
CELRUSDT,4,1.4630691440601433,2.4630691440601433,3,1
SANTOSUSDT,3,2.052928101704909,2.052928101704909,3,0
POLUSDT,6,12.443524778974698,12.443524778974698,6,0
RLCUSDT,3,1.8922765038341036,-1.0,2,1
RENDERUSDT,7,-2.7625206381175658,0.9663324944360303,7,0
STXUSDT,9,-4.181625110914164,-0.42577030768071955,9,0
GRIFFAINUSDT,11,8.330526387366204,5.52257475351839,8,3
GIGGLEUSDT,7,0.5285210445653763,-1.8458433595261563,5,1
SCRUSDT,6,-0.769916644688458,1.7830510574981076,6,0
HIPPOUSDT,4,-0.6130247455572824,0.38697525444271763,3,1
BLESSUSDT,5,-1.7723650677909166,-1.7723650677909166,5,0
TAGUSDT,5,5.121671994231049,-1.0,1,4
DAMUSDT,8,-1.756622894037465,-1.756622894037465,8,0
1INCHUSDT,6,3.003541449756128,2.7699256014055473,5,1
SKLUSDT,11,8.249471568534162,3.0377461745310836,9,2
BANUSDT,6,-4.0,-4.0,6,0
KAIAUSDT,6,3.362048255073102,3.362048255073102,5,1
ARUSDT,8,5.478222552490932,3.430599756250202,6,2
EULUSDT,8,8.504724973178385,6.115453790538242,7,1
CVCUSDT,10,3.5015439764249177,0.1682825469161795,7,3
VVVUSDT,9,-3.7913073388198955,-6.0,7,2
XTZUSDT,3,0.3309082569279038,-2.0,2,1
NKNUSDT,4,1.501849654448351,1.501849654448351,4,0
SANDUSDT,8,-7.0,-7.0,8,0
FLOCKUSDT,10,8.9929642795764,6.806462680178986,9,1
MEMEUSDT,13,4.901297406436249,1.1720262634692196,9,4
XAIUSDT,13,-12.0,-4.884104189170297,12,1
JASMYUSDT,7,-0.4385854357446819,-0.4385854357446819,7,0
ORDERUSDT,5,8.547185802518428,4.186337185187797,5,0
CVXUSDT,7,1.8599869247496184,5.745901363725117,7,0
STEEMUSDT,7,-1.483900609745393,-1.483900609745393,7,0
ZEREBROUSDT,5,-1.4228191974265232,-4.0,4,1
ATOMUSDT,9,1.4120416232896273,-2.161193728298554,8,1
EIGENUSDT,6,-0.8992084151164752,3.3536915658149153,5,1
QTUMUSDT,5,-2.0,-2.0,5,0
ONDOUSDT,12,-3.6877814198867593,-2.6877814198867593,11,1
A2ZUSDT,7,6.639043631042772,7.639043631042772,7,0
ARKUSDT,4,0.5807599826344285,0.5807599826344285,4,0
AAVEUSDT,6,5.4432299285134755,5.4432299285134755,6,0
BABYUSDT,8,7.5578170370832165,2.4118325087637524,6,2
GPSUSDT,8,-1.3170389142052996,5.280730405894601,7,1
TOWNSUSDT,10,7.6100745881745695,4.800169043838382,6,4
MYXUSDT,11,-1.7898843049837243,-4.274397166269379,8,3
PUFFERUSDT,9,7.88252327379818,9.192871966252525,6,3
ENSOUSDT,6,-0.8607422316248745,-0.8607422316248745,6,0
SUIUSDT,14,-1.3110303758218191,-0.31103037582181914,12,1
ANIMEUSDT,8,-7.0,0.14815358367011067,7,1
1000SATSUSDT,23,6.000840863832563,8.949600638785505,22,1
MOVEUSDT,12,6.9087165577092735,9.680160421000846,11,1
WAXPUSDT,4,1.44831167600088,-1.0,2,2
SUSDT,12,0.031211525629314618,0.031211525629314618,12,0
TNSRUSDT,10,9.228255441801497,13.353364837834146,9,1
DOLOUSDT,11,-1.2620399255890717,-4.929255529892114,10,1
ETHUSDT,5,-3.0,-3.0,5,0
MORPHOUSDT,5,0.5184776027985007,0.5184776027985007,5,0
KASUSDT,11,3.5150717267725753,7.319191523986964,11,0
VANAUSDT,11,-10.0,-10.0,11,0
FARTCOINUSDT,10,9.970507486637192,10.757861584199475,8,2
MAVIAUSDT,9,-0.22220712560322387,3.9829659413364866,9,0
RIVERUSDT,8,4.167066928371858,0.06721567648406745,6,2
OGNUSDT,7,-0.7755935083004495,-0.7755935083004495,7,0
POWRUSDT,3,1.4138013363636666,1.4138013363636666,3,0
TAKEUSDT,6,-0.9648081440592073,-0.9648081440592073,6,0
STRKUSDT,6,-0.6305670492722482,-0.6305670492722482,6,0
B3USDT,3,-2.0,9.531902384782885,3,0
AGLDUSDT,7,5.981723836941532,4.256068208245631,4,3
CTKUSDT,4,-4.0,-4.0,4,0
NOMUSDT,8,-0.21895072793654036,-3.1329292307292107,7,1
1000FLOKIUSDT,13,12.06972528556386,10.051314087465812,12,1
BELUSDT,4,0.29417635407751197,-2.0,3,1
MASKUSDT,8,-2.222341910357714,-1.2993325051858067,7,1
ALPINEUSDT,5,4.603132180493091,2.258889170504434,3,2
COOKIEUSDT,8,10.64990648905165,1.9499993737320542,5,3
ONEUSDT,15,-0.06760003833483541,0.7752346803406396,14,1
MEUSDT,11,13.99380632911853,14.41009804695139,10,1
PLAYUSDT,3,1.109482837137286,2.109482837137286,2,1
CHESSUSDT,6,-4.0,-1.9332297468198547,6,0
CHILLGUYUSDT,7,-2.6871892536837687,3.1276810854870543,6,1
UAIUSDT,4,-0.8492832868197726,-0.8492832868197726,4,0
KOMAUSDT,7,7.661912470649244,4.654862714529234,6,1
ASTRUSDT,13,6.217795563617095,11.838747227568886,12,1
WIFUSDT,11,11.221995645308057,9.599517684448017,8,3
XANUSDT,4,4.743915690214629,1.6771157381827555,3,1
UMAUSDT,8,8.44205333464688,8.44205333464688,8,0
BTRUSDT,4,2.1814084711023547,5.289231602217865,4,0
HUMAUSDT,7,-6.0,-6.0,7,0
SUNUSDT,0,0,0,0,0
CETUSUSDT,9,7.365787084032526,5.668933444059799,7,2
AVAXUSDT,11,-1.4407452665852434,-1.4407452665852434,11,0
STORJUSDT,6,1.530569090811846,2.530569090811846,6,0
ARIAUSDT,8,-5.009116317916748,-3.0091163179167477,8,0
XLMUSDT,6,1.4112249091316018,1.4112249091316018,6,0
1000000MOGUSDT,7,3.3997433787069933,-1.7939204552767398,5,2
HYPEUSDT,9,21.37327149383556,21.37327149383556,8,1
HIGHUSDT,9,4.268360666481538,6.023157973599171,8,1
LAUSDT,7,-2.889738507630078,-2.889738507630078,6,1
HOOKUSDT,12,7.07512058741294,11.142911866056641,12,0
IRYSUSDT,1,-1.0,-1.0,1,0
AVAUSDT,3,3.255764240834523,3.255764240834523,2,1
VFYUSDT,4,-0.6686451737887738,3.5909593966259576,4,0
MOODENGUSDT,9,-3.4031058124960287,-3.4031058124960287,7,2
SAFEUSDT,10,-5.0819205947545765,-4.0819205947545765,8,2
DYMUSDT,8,4.019659599417146,1.7442753467456207,7,1
ENSUSDT,8,-1.0748831408327035,-1.0748831408327035,7,1
MELANIAUSDT,5,0.8349205615018169,0.8349205615018169,5,0
AKEUSDT,8,-4.063034838764711,0.6195330861407888,7,1
TRADOORUSDT,6,-2.7245748718832115,-2.7245748718832115,6,0
