timeframe,leverage,threshold,sizing,start_date,end_date,total_trades,win_rate,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_pct,final_equity,avg_confidence,liquidations,num_symbols,error
4h,5,0.65,fixed,2020-12-08,2020-12-23,5,40.0,17.040927820961475,1.950337746505029,8.986116953644204,9.737423993099931,3.4081855641922947,11704.092782096148,0.7623759508132935,0,531,
4h,5,0.65,percent,2020-12-08,2020-12-23,5,40.0,19.057620030156404,4.797817491195547,8.925640016982697,4.972143597610581,3.8115240060312807,11905.76200301564,0.7623759508132935,0,531,
4h,5,0.75,fixed,2020-12-08,2020-12-19,3,0.0,-1.9503377465050271,1.950337746505029,-112.50185089656327,0.0,-0.6501125821683423,9804.966225349497,0.8149387836456299,0,531,
4h,5,0.75,percent,2020-12-08,2020-12-19,3,0.0,-4.797817491195535,4.797817491195547,-111.55993089469258,0.0,-1.5992724970651784,9520.218250880447,0.8149387836456299,0,531,
4h,7,0.65,fixed,2020-12-08,2020-12-23,5,40.0,23.857298949346063,2.730472845107033,9.003550139127487,9.73742399309993,4.771459789869213,12385.729894934606,0.7623759508132935,0,531,
4h,7,0.65,percent,2020-12-08,2020-12-23,5,40.0,26.06600638829751,6.673576386934819,8.882986892535003,4.905852705803756,5.213201277659502,12606.60063882975,0.7623759508132935,0,531,
4h,7,0.75,fixed,2020-12-08,2020-12-19,3,0.0,-2.7304728451070384,2.730472845107033,-112.85770890128302,0.0,-0.9101576150356795,9726.952715489297,0.8149387836456299,0,531,
4h,7,0.75,percent,2020-12-08,2020-12-19,3,0.0,-6.673576386934841,6.673576386934819,-111.55993089469193,0.0,-2.2245254623116137,9332.642361306516,0.8149387836456299,0,531,
8h,5,0.65,fixed,2020-12-08,2020-12-11,3,0.0,-2.136847545453065,2.1368475454530564,-500.0564592985792,0.0,-0.7122825151510217,9786.315245454694,0.7430924773216248,0,517,
8h,5,0.65,percent,2020-12-08,2020-12-11,3,0.0,-5.24761959326868,5.247619593268682,-430.4097878895583,0.0,-1.7492065310895601,9475.238040673132,0.7430924773216248,0,517,
8h,5,0.75,fixed,2020-12-08,2020-12-09,2,0.0,-1.461646451789376,1.4616464517893657,-16538.64413590236,0.0,-0.730823225894688,9853.835354821062,0.7879456877708435,0,517,
8h,5,0.75,percent,2020-12-08,2020-12-09,2,0.0,-3.620734964303561,3.6207349643035562,-5841.1817470495835,0.0,-1.8103674821517806,9637.926503569644,0.7879456877708435,0,517,
8h,7,0.65,fixed,2020-12-08,2020-12-11,3,0.0,-2.991586563634291,2.9915865636343004,-533.6778378212744,0.0,-0.9971955212114303,9700.841343636572,0.7430924773216248,0,517,
8h,7,0.65,percent,2020-12-08,2020-12-11,3,0.0,-7.29418960355724,7.294189603557243,-430.4097878895433,0.0,-2.4313965345190796,9270.581039644276,0.7430924773216248,0,517,
8h,7,0.75,fixed,2020-12-08,2020-12-09,2,0.0,-2.046305032505126,2.0463050325051335,-6510.051376060196,0.0,-1.023152516252563,9795.369496749487,0.7879456877708435,0,517,
8h,7,0.75,percent,2020-12-08,2020-12-09,2,0.0,-5.0503354975298524,5.05033549752985,-5841.181747042212,0.0,-2.5251677487649262,9494.966450247015,0.7879456877708435,0,517,
12h,5,0.65,fixed,2020-12-04,2020-12-17,2,50.0,3.794916607679371,6.06994044208065,4.245776371304215,1.5657783442930562,1.8974583038396855,10379.491660767937,0.6751381158828735,0,490,
12h,5,0.65,percent,2020-12-04,2020-12-17,2,50.0,7.0495407070701175,8.600455957258998,5.259291735255428,1.6998396874546933,3.5247703535350587,10704.954070707012,0.6751381158828735,0,490,
12h,5,0.75,fixed,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,490,
12h,5,0.75,percent,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,490,
12h,7,0.65,fixed,2020-12-04,2020-12-17,2,50.0,4.7032802221827525,8.718146491216103,4.056586887563848,1.4703280222182753,2.3516401110913763,10470.328022218275,0.6751381158828735,1,490,
12h,7,0.65,percent,2020-12-04,2020-12-17,2,50.0,8.953867386312913,12.113897129963789,5.216387019519155,1.5962169699716318,4.4769336931564565,10895.386738631292,0.6751381158828735,1,490,
12h,7,0.75,fixed,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,490,
12h,7,0.75,percent,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,490,
1d,5,0.65,fixed,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.65,percent,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.75,fixed,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,5,0.75,percent,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
1d,7,0.65,fixed,2020-12-01,2020-12-31,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0,408,
