timestamp,direction,is_win
2025-05-25,SHORT,1.0
2024-07-27,SHORT,1.0
2024-11-07,LONG,1.0
2025-07-26,SHORT,1.0
2025-07-23,SHORT,0.0
2025-10-18,SHORT,0.0
2024-06-10,SHORT,1.0
2024-11-08,LONG,1.0
2025-01-19,SHORT,1.0
2025-04-11,LONG,1.0
2025-07-26,SHORT,1.0
2024-03-13,SHORT,1.0
2024-07-10,LONG,1.0
2025-01-18,SHORT,1.0
2025-04-11,LONG,1.0
2025-07-24,SHORT,1.0
2024-01-14,SHORT,1.0
2024-07-02,SHORT,1.0
2024-12-13,SHORT,1.0
2025-01-19,SHORT,1.0
2025-04-12,LONG,1.0
2025-05-24,SHORT,1.0
2025-07-24,SHORT,1.0
2025-08-25,SHORT,0.0
2025-10-09,SHORT,1.0
2024-06-24,LONG,1.0
2022-01-20,SHORT,1.0
2023-06-19,LONG,1.0
2024-09-10,LONG,1.0
2025-01-20,SHORT,1.0
2025-03-04,SHORT,0.0
2025-04-12,LONG,1.0
2025-09-10,LONG,0.0
2024-04-11,SHORT,1.0
2024-09-09,LONG,1.0
2024-12-09,SHORT,1.0
2025-01-20,SHORT,1.0
2025-04-11,LONG,1.0
2021-11-03,SHORT,1.0
2023-04-19,SHORT,1.0
2024-06-08,SHORT,1.0
2024-07-24,SHORT,1.0
2024-11-07,LONG,1.0
2025-03-03,SHORT,1.0
2025-04-12,LONG,1.0
2024-10-09,LONG,0.0
2025-04-11,LONG,1.0
2025-07-25,SHORT,0.0
2021-06-08,SHORT,1.0
2021-07-23,LONG,1.0
2022-10-16,LONG,1.0
2023-04-19,SHORT,1.0
2023-06-05,SHORT,1.0
2023-10-08,SHORT,0.0
2025-08-30,SHORT,1.0
2024-09-09,LONG,1.0
2024-11-07,LONG,1.0
2025-01-08,SHORT,1.0
2025-09-20,SHORT,1.0
2024-06-08,SHORT,1.0
2024-08-13,LONG,0.0
2024-09-09,LONG,1.0
2025-01-19,SHORT,0.0
2025-03-30,SHORT,0.0
2025-07-25,SHORT,1.0
2021-08-31,SHORT,1.0
2021-11-16,SHORT,1.0
2023-10-21,LONG,1.0
2024-09-09,LONG,1.0
2024-12-07,SHORT,1.0
2025-07-27,SHORT,0.0
2025-07-26,SHORT,0.0
2024-11-08,LONG,1.0
2025-01-19,SHORT,1.0
2025-02-01,SHORT,1.0
2025-04-12,LONG,1.0
2024-08-12,LONG,0.0
2024-12-09,SHORT,0.0
2025-04-11,LONG,1.0
2024-11-07,LONG,1.0
2025-08-25,SHORT,0.0
2025-11-04,LONG,1.0
2024-08-13,LONG,1.0
2024-09-10,LONG,0.0
2024-11-06,LONG,1.0
2025-01-24,SHORT,1.0
2021-08-21,LONG,1.0
2022-01-07,SHORT,1.0
2022-11-23,LONG,0.0
2024-03-15,SHORT,1.0
2024-06-10,SHORT,1.0
2024-11-08,LONG,1.0
2025-04-11,LONG,1.0
2025-06-27,LONG,1.0
2025-01-19,SHORT,1.0
2025-08-15,SHORT,1.0
2025-09-08,LONG,0.0
2022-04-06,SHORT,1.0
2023-03-01,SHORT,1.0
2023-06-07,SHORT,1.0
2024-06-07,SHORT,1.0
2024-08-13,LONG,0.0
2024-09-10,LONG,1.0
2024-11-07,LONG,1.0
