tp_pct,sl_pct,risk_reward,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_pnl,max_drawdown,sharpe_ratio,profit_factor,avg_bars_held
0.01,0.005,2.0,1197,133,1064,0.1111111111111111,-4.947599999999902,-0.004133333333333288,4.941799999999902,-13.918965478798949,0.19827586206896988,1.0041771094402674
0.01,0.01,1.0,1197,272,925,0.227234753550543,-7.487599999999925,-0.006255304928989143,7.476799999999925,-11.848342284886987,0.25049049049049377,1.0217209690893903
0.01,0.015,0.6666666666666667,1197,404,793,0.33751044277360065,-8.812599999999975,-0.00736223893065995,8.796799999999974,-9.886374180106456,0.2966462879307835,1.0526315789473684
0.01,0.02,0.5,1197,514,683,0.429406850459482,-9.47760000000008,-0.007917794486215544,9.456800000000081,-8.464191484128255,0.3328640612681608,1.0843776106934002
0.01,0.025,0.39999999999999997,1197,620,577,0.5179615705931495,-9.182600000000098,-0.007671345029239743,9.156800000000098,-6.9632845275516,0.38316338183332105,1.137844611528822
0.02,0.005,4.0,1197,130,1067,0.1086048454469507,-3.6925999999999077,-0.003084878863826185,3.686799999999908,-6.295621954527794,0.40332223766280884,1.014202172096909
0.02,0.01,2.0,1197,254,943,0.2121971595655806,-5.3075999999999866,-0.004434085213032581,5.296799999999987,-5.738580740065104,0.4788500058913701,1.0568086883876358
0.02,0.015,1.3333333333333335,1197,372,825,0.3107769423558897,-5.892599999999941,-0.004922807017543821,5.876799999999942,-4.824371500554888,0.5479401611047117,1.1203007518796992
0.02,0.02,1.0,1197,474,723,0.39598997493734334,-5.9376000000000735,-0.004960401002506267,5.916800000000073,-4.025250351316897,0.6051707628471115,1.1846282372598163
0.02,0.025,0.7999999999999999,1197,564,633,0.47117794486215536,-5.502600000000019,-0.004596992481202976,5.4768000000000185,-3.248735045985077,0.6630662404937623,1.2815371762740184
0.03,0.005,6.0,1197,114,1083,0.09523809523809523,-2.952599999999923,-0.0024666666666666188,2.9467999999999233,-3.811274134238475,0.529945553539031,1.0459482038429406
0.03,0.01,3.0,1197,231,966,0.19298245614035087,-3.6876000000000504,-0.0030807017543859638,3.6768000000000503,-3.098057915186509,0.6465378421900286,1.112781954887218
0.03,0.015,2.0,1197,335,862,0.27986633249791143,-3.8375999999999877,-0.0032060150375939444,3.8603999999999905,-2.519250918897812,0.7182296102675508,1.2197159565580618
0.03,0.02,1.5,1197,431,766,0.36006683375104426,-3.356346793697315,-0.002803965575352818,3.4687467936973158,-1.8552238852443634,0.7893435683811219,1.318295739348371
0.03,0.025,1.2,1197,518,679,0.4327485380116959,-2.401346793697287,-0.0020061376722617244,2.407799999999975,-1.1689808239364876,0.8629227435639779,1.459482038429407
0.04,0.005,8.0,1197,109,1088,0.0910609857978279,-2.0624274929584794,-0.0017229970701407532,2.0654274929584804,-2.120195086192338,0.6731700854211397,1.06265664160401
0.04,0.01,4.0,1197,215,982,0.1796157059314954,-2.2236792117713415,-0.0018577102855232587,2.221279211771342,-1.5412321376157578,0.7903297114947575,1.1754385964912282
0.04,0.015,2.666666666666667,1197,304,893,0.25396825396825395,-2.277814765222907,-0.001902936311798583,2.4298147652229094,-1.265873922725147,0.8385604798770249,1.330827067669173
0.04,0.02,2.0,1197,390,807,0.3258145363408521,-1.670965526750268,-0.001395961175229969,2.0306823471489337,-0.7920004234243517,0.9004524397846785,1.4803675856307434
0.04,0.025,1.5999999999999999,1197,466,731,0.3893065998329156,-0.752270060974085,-0.0006284628746650684,1.378799999999973,-0.31605701452543655,0.9600835249741803,1.6574770258980784
0.05,0.005,10.0,1197,92,1105,0.07685881370091896,-1.9174274929584818,-0.0016018608963729983,1.960227492958483,-1.743633741558698,0.7008226723422617,1.101921470342523
0.05,0.01,5.0,1197,190,1007,0.15873015873015872,-1.6192341286817213,-0.001352743632983897,1.6768341286817217,-0.9849213222902911,0.8511131221558745,1.2447786131996659
0.05,0.015,3.3333333333333335,1197,271,926,0.22639933166248954,-1.438369682133286,-0.0012016455155666548,1.7767696821332915,-0.7047974163020099,0.901688924588308,1.4285714285714286
0.05,0.02,2.5,1197,355,842,0.29657477025898077,-0.3165204436606534,-0.00026442810665050514,1.170399999999998,-0.1322188041567038,0.9819271626815439,1.609857978279031
0.05,0.025,2.0,1197,420,777,0.3508771929824561,0.3088714419329052,0.000258037963185381,0.8255999999999819,0.1152235105217063,1.0154182056528582,1.8304093567251463
