2026-04-05 18:00:08 | scan_start | timeframe=1h | symbols=81 | lookback_days=450 | batch_predict=True
2026-04-05 18:00:08 | symbol_done | idx=1 | total=81 | symbol=0GUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.187
2026-04-05 18:00:08 | symbol_done | idx=2 | total=81 | symbol=1000000BOBUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.113
2026-04-05 18:00:08 | symbol_done | idx=3 | total=81 | symbol=1000000MOGUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.082
2026-04-05 18:00:08 | symbol_done | idx=4 | total=81 | symbol=1000BONKUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.069
2026-04-05 18:00:08 | symbol_done | idx=5 | total=81 | symbol=1000CATUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.074
2026-04-05 18:00:09 | symbol_done | idx=6 | total=81 | symbol=1000CHEEMSUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.079
2026-04-05 18:00:09 | symbol_done | idx=7 | total=81 | symbol=1000FLOKIUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.057
2026-04-05 18:00:09 | symbol_done | idx=8 | total=81 | symbol=1000LUNCUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.073
2026-04-05 18:00:09 | symbol_done | idx=9 | total=81 | symbol=1000PEPEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.068
2026-04-05 18:00:09 | symbol_done | idx=10 | total=81 | symbol=1000RATSUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.137
2026-04-05 18:00:09 | symbol_done | idx=11 | total=81 | symbol=1000SATSUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.078
2026-04-05 18:00:09 | symbol_done | idx=12 | total=81 | symbol=1000SHIBUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.074
2026-04-05 18:00:09 | symbol_done | idx=13 | total=81 | symbol=1000WHYUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.116
2026-04-05 18:00:09 | symbol_done | idx=14 | total=81 | symbol=1000XECUSDT | status=skip | reason=no_setup | signals=0 | elapsed_s=0.087
2026-04-05 18:00:09 | symbol_done | idx=15 | total=81 | symbol=1INCHUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.115
2026-04-05 18:00:10 | symbol_done | idx=16 | total=81 | symbol=1MBABYDOGEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.126
2026-04-05 18:00:10 | symbol_done | idx=17 | total=81 | symbol=2ZUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.829
2026-04-05 18:00:12 | symbol_done | idx=18 | total=81 | symbol=42USDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=1.216
2026-04-05 18:00:12 | symbol_done | idx=19 | total=81 | symbol=4USDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.157
2026-04-05 18:00:12 | symbol_done | idx=20 | total=81 | symbol=A2ZUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.128
2026-04-05 18:00:12 | symbol_done | idx=21 | total=81 | symbol=AAVEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.143
2026-04-05 18:00:12 | symbol_done | idx=22 | total=81 | symbol=ACEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.162
2026-04-05 18:00:12 | symbol_done | idx=23 | total=81 | symbol=ACHUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.139
2026-04-05 18:00:12 | symbol_done | idx=24 | total=81 | symbol=ACTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.112
2026-04-05 18:00:13 | symbol_done | idx=25 | total=81 | symbol=ACUUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.146
2026-04-05 18:00:13 | symbol_done | idx=26 | total=81 | symbol=ACXUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.110
2026-04-05 18:00:13 | symbol_done | idx=27 | total=81 | symbol=ADAUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.233
2026-04-05 18:00:13 | symbol_done | idx=28 | total=81 | symbol=AERGOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.130
2026-04-05 18:00:13 | symbol_done | idx=29 | total=81 | symbol=AEROUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.112
2026-04-05 18:00:14 | symbol_done | idx=30 | total=81 | symbol=AEVOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.393
2026-04-05 18:00:14 | symbol_done | idx=31 | total=81 | symbol=AGLDUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.467
2026-04-05 18:00:15 | symbol_done | idx=32 | total=81 | symbol=AGTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.588
2026-04-05 18:00:15 | symbol_done | idx=33 | total=81 | symbol=AIAUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.335
2026-04-05 18:00:16 | symbol_done | idx=34 | total=81 | symbol=AINUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.435
2026-04-05 18:00:16 | symbol_done | idx=35 | total=81 | symbol=AIOTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.325
2026-04-05 18:00:16 | symbol_done | idx=36 | total=81 | symbol=AIOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.272
2026-04-05 18:00:17 | symbol_done | idx=37 | total=81 | symbol=AIUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.392
2026-04-05 18:00:17 | symbol_done | idx=38 | total=81 | symbol=AIXBTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.143
2026-04-05 18:00:17 | symbol_done | idx=39 | total=81 | symbol=AKEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.126
2026-04-05 18:00:17 | symbol_done | idx=40 | total=81 | symbol=AKTUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.178
2026-04-05 18:00:17 | symbol_done | idx=41 | total=81 | symbol=ALCHUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.148
2026-04-05 18:00:18 | symbol_done | idx=42 | total=81 | symbol=ALGOUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.214
2026-04-05 18:00:18 | symbol_done | idx=43 | total=81 | symbol=ALICEUSDT | status=skip | reason=no_latest_setup | signals=0 | elapsed_s=0.099
